#,video_id,upload_date,views,likes,comments,num_segments,zones,visual_types,transcript_preview
28,C_hHZGTpAKf,20240905,5267,369,37,1,hook,workspace,🥁🥁🥁
29,DA_FQEht7nB,20241011,4788,324,69,8,"body, cta, hook","founder-talking-neutral, product-demo-feature, product-demo-use-case",So I invented this bowl that stores completely flat You guys blew up my video about the space saving minimal bowl I inve
30,DBttFzyNPfF,20241029,2683,163,34,7,"body, cta, hook","screen-recording, text-overlay-only",Patience is not about waiting it's about figuring out what to do now Over a year ago I launched as a full It did pretty 
31,DB7Bvikux2x,20241103,5271,304,33,6,"body, cta, hook",founder-talking-neutral,Might be a hot take I think being an entrepreneur you actually usually have less freedom than non entrepreneurs Let me e
32,DB_--pIOLs3,20241105,7899,363,23,8,"body, cta, hook","outdoor, text-overlay-only",Don't put all your eggs in one basket is a complete lie Here's why Having to balance three things at once is stressful a
33,DCFxVO5oO-i,20241108,3557,211,18,9,"body, cta, hook","founder-talking-excited, founder-talking-neutral, founder-talking-serious, outdoor, product-demo-use-case, product-in-hand",I'm an 18 year old entrepreneur and last year I launched my first product Things started off great until I realized how 
34,DCHOQMYtYkz,20241108,3675,158,47,5,"body, cta, hook","product-in-hand, text-overlay-only",You mean like this I spent the past two years making this and it's currently in mass production If you want to be notifi
35,DCPAiuNN71S,20241111,13005,289,40,2,"cta, hook","lifestyle, workspace",Thank you for watching
36,DChVHFpNrRR,20241118,11695,967,36,11,"body, cta, hook","founder-talking-excited, founder-talking-neutral, lifestyle, product-demo-feature, text-overlay-only",Here's the story It all started when I launched this bull which I'd been working on for years prior to the launch The la
37,DCj6yE1O7zo,20241119,8466,331,51,10,"body, cta, hook","lifestyle, outdoor, product-demo-use-case, text-overlay-only, workspace",Just give me a second Not going to lie I am not seeing Raisin Bran I guess this will work I don't have milk so please fo
38,DCmhWH9OMao,20241120,92764,3506,185,5,"body, cta, hook",founder-talking-neutral,I'm gonna keep this really quick and uncut I'm Gaul I'm an 18 year old entrepreneur and I'm on a mission to improve the 
39,DCwv3bitrQF,20241124,3832,184,28,1,hook,text-overlay-only,(no speech)
40,DCzTzQKNVB0,20241125,3343,151,18,3,"body, cta, hook","lifestyle, text-overlay-only",Peace
41,DDC1XYdu93b,20241201,8138,223,18,7,"body, cta, hook","founder-talking-neutral, product-demo-feature, text-overlay-only",Would you give up sex for a year to never have to do dishes again Turns out one in five Americans actually would But don
42,DDFlZv1OQGq,20241202,2685,202,29,11,"body, cta, hook",founder-talking-neutral,I'm an 18 year old entrepreneur who's not going to college to pursue my business and before you scroll no I don't have a
43,DDNCrleteiW,20241205,6118,165,19,4,"body, cta, hook",founder-talking-neutral,For some reason this is a hot take I don't think you should be making a course unless you've already done what you're te
44,DDVQPIuuZe5,20241208,25044,1208,60,6,"body, cta, hook","founder-talking-neutral, text-overlay-only",What if I told you I invented a product that will prevent your dishwasher from ever being full again In a second it turn
45,DDW6gfRt-kX,20241209,16164,294,20,1,hook,text-overlay-only,(no speech)
46,DDXkpPBuog1,20241209,248214,9269,848,6,"body, cta, hook","product-in-hand, text-overlay-only",Plate bowl last year when I was 17 I launched this product to make your kitchen experience significantly easier since th
47,DDZ7ZUONfqv,20241210,9334,317,17,7,"body, cta, hook","outdoor, text-overlay-only",I know you can't see me so well because the lights behind me but I wanted to have the sunset in the background I invente
48,DDaOa6yu5ou,20241210,16634,402,68,4,"body, cta, hook","product-demo-feature, workspace",It's all from creation Bam bam ayo Muata bam bam Bam bam de la Bam bam Bam bam de la Bam bam ayo Muata bam bam Tawata ba
49,DDclTfKOrwl,20241211,9297,320,15,4,"body, cta, hook","founder-talking-neutral, text-overlay-only",Quick reminder just because you feel like you're staying still doesn't mean you're not moving in the right direction
50,DDdH1DPN0Kb,20241211,15278,169,29,9,"body, cta, hook","blank-space, founder-talking-neutral, lifestyle, product-demo-feature, product-demo-use-case",good question let me just check my fridge no no bro why are you still watching this video oh so so what are you doing i'
51,DES-8VjOmVa,20250101,10179,403,48,13,"body, cta, hook","founder-talking-neutral, product-in-hand",See this plate See this bowl You've never seen something like that in your entire life People always ask me why I invent
52,DEVLB4LNTGi,20250102,435703,36425,1031,7,"body, cta, hook","b-roll-cutaway, product-demo-use-case, text-overlay-only",Plate bowl I'm Gaul I'm a teenage entrepreneur I invented this bowl to make your kitchen experience easier Now I don't k
53,DEdLTHbuSxp,20250105,30023,2061,71,11,"body, cta, hook","founder-talking-neutral, outdoor, product-in-hand, split-screen, text-overlay-only",Something feels wrong about this I just ordered 75 000 magnets If you're not deathly curious why just keep scrolling A y
54,DEgFSHMN35E,20250106,11601,466,27,10,"body, cta, hook","founder-talking-excited, founder-talking-neutral",I just graduated high school and my diploma is probably in one of these things behind me If I had to put all my thoughts
55,DElOn_PtQwf,20250108,16961,505,29,8,"body, cta, hook","founder-talking-neutral, product-in-hand, text-overlay-only",I invented this product in high school It's a bowl that folds completely flat into a plate to save space in your dishwas
56,DFBQyfduWQ8,20250119,11659,360,83,9,"body, cta, hook","outdoor, product-demo-use-case",Yo what is that It's actually my first product of my company called Wave where I'm on a mission to make your kitchen exp
57,DFLMdg2txkD,20250123,7853,415,43,8,"body, cta, hook","product-demo-feature, split-screen, text-overlay-only",It doesn't matter where you record your video or how fancy your editing is what's most important is what you're talking 
58,DFLqxyROId_,20250123,10002,350,41,11,"body, cta, hook","founder-talking-neutral, outdoor, split-screen, text-overlay-only",When I was in high school I created a company called Wave to make your kitchen experience easier A year and a half ago I
59,DFaeCdYNn1E,20250129,12137,703,52,8,"body, cta, hook","founder-talking-neutral, text-overlay-only",I get accused of stealing this idea of this space saving bowl almost every single day and while I've posted videos showi
60,DFqCepVNrPk,20250204,7853,335,39,7,"body, cta, hook","founder-talking-neutral, product-close-up, product-demo-feature, text-overlay-only",Check this out With this space saving bowl I raised over 100 000 in less than 30 days while I was 17 And believe me this
61,DFqeUrnu4v5,20250204,9540,388,44,12,"body, cta, hook","founder-talking-neutral, product-demo-feature, product-demo-use-case, product-in-hand, text-overlay-only",Plate bowl I don't know you but I think this product I invented could change your life I'm Gall I invented this shape sh
62,DFvYDyWtZ6c,20250206,36331,1439,93,5,"body, cta, hook","outdoor, split-screen, text-overlay-only",No one on this bus is aware that I invented the most efficient kitchen product in the world Let me explain It's a bowl t
63,DF3LyCNuYlR,20250209,10321,598,70,11,"body, cta, hook","founder-talking-neutral, split-screen, text-overlay-only",I invented this bowl The bowl is completely flat into a plate to save space in your kitchen And when I get hate comments
64,DGDjwD4NMaA,20250214,8359,479,22,5,"body, cta, hook","founder-talking-neutral, product-demo-feature, text-overlay-only",I'm a teenage entrepreneur on a massive journey to improve your kitchen experience My first product is this bowl that fo
65,DGtl1oPN9nV,20250302,596341,57869,1447,8,"body, cta, hook","founder-talking-neutral, split-screen",I invented this product when I was 15 It's a bowl that folds completely flat into a plate to save space in your dishwash
66,DGyGX1FsdtX,20250304,17126,932,99,9,"body, cta, hook","b-roll-cutaway, product-in-hand, text-overlay-only",What do you guys think about my invention What do you think it is No no you eat you eat Plate and bowl I know balls ball
67,DGygHDUtpah,20250304,109910,6707,1110,6,"body, cta, hook","outdoor, product-demo-feature, product-in-hand",Excuse me sir what do you think about my invention Wow you can be a millionaire one day Listen to me Oh I think it's coo
68,DG5oB_LtHlA,20250307,17237,467,16,6,"body, cta, hook","lifestyle, product-demo-feature, product-in-hand",Hey we travel a lot kinda need one of these It's a bowl that folds flat into a plate That's what it's meant for actually
69,DG_lJgsNUQB,20250309,9135,279,34,16,"body, cta, hook","product-in-hand, split-screen, text-overlay-only",I'm a chef Oh you're a chef Okay awesome Yeah yeah yeah Excuse me sir Do you like washing dishes I do wash dishes on a d
70,DG_rJO3Nnw4,20250309,15508,515,38,8,"body, cta, hook","founder-laughing, founder-talking-neutral, product-in-hand, text-overlay-only",Sir do you like washing dishes I do wash dishes on a daily basis I'm a chef Oh you're a chef okay awesome So I wanna hel
71,DHbAaC3tCjM,20250320,27260,727,29,7,"body, cta, hook","outdoor, product-comparison, product-demo-feature, text-overlay-only",Excuse me sir Do you like doing dishes No I don't have time No time No time for dishes If you're struggling with taking 
72,DHbk53MN-aN,20250320,13099,336,17,5,"body, cta, hook","product-demo-feature, product-demo-use-case, text-overlay-only, workspace",Yeah can you just record me for a second I invented this bowl that folds completely flat into a plate to save space And 
73,DHjd71qO2wr,20250323,13742,520,24,6,"body, cta, hook","b-roll-cutaway, founder-talking-excited, product-demo-feature, text-overlay-only",You guys like doing dishes Okay so look at this it's a plate that you can eat off of and then it turns into a bowl And t
74,DH1UhIqNm2g,20250330,20635,844,83,9,"body, cta, hook","founder-talking-neutral, product-demo-feature, product-demo-use-case, split-screen, text-overlay-only",This is not what it looks like It's actually the most efficient dish in the world Its design is compatible with almost a
75,DH3ZMJatz0b,20250331,87940,3555,101,8,"body, cta, hook","founder-reacting, founder-thinking, on-phone, outdoor, product-demo-use-case",Thank you Thank you Hey great to meet you man All right just to confirm that's 1 million bulls You know what Mark I like
76,DH4MlowtqVq,20250331,9459,483,68,9,"body, cta, hook","founder-talking-neutral, text-overlay-only",If you're a young entrepreneur the biggest threat to your success is college Not only will it take your time and money a
77,DL5OckHNbpB,20250709,11275,1389,131,10,"body, cta, hook","founder-talking-neutral, product-in-hand, text-overlay-only",It's been 98 days since my last video so it's a little bit awkward If you're new here I'm Gall Two years ago I invented 
78,DL7-78mN0-b,20250710,7596,417,53,11,"body, cta, hook","founder-laughing, founder-talking-neutral, split-screen, text-overlay-only",Before I needed to start making money I'd be a millionaire from entrepreneurship To give me the best chances of completi
79,DL-RKyINOx1,20250711,10252,586,44,11,"body, cta, hook",founder-talking-neutral,My invention made me over 100 000 in 30 days when I was 17 Here's how I lost almost all of it As I go through this journ
80,DMG4Yv6oJKF,20250715,97674,7111,234,15,"body, cta, hook","founder-talking-neutral, product-demo-feature, text-overlay-only",I just ended an almost two year relationship Took me a while to decide if I wanted to talk about this publicly or not Ho
81,DMO3YWuoD4p,20250718,22759,795,56,11,"body, cta, hook","founder-talking-neutral, lifestyle, split-screen",It took me almost a year of making videos to man up and start being transparent to my followers See two years ago I laun
82,DMWSxWCJDUt,20250720,25677,756,80,7,"body, cta, hook",founder-talking-neutral,a quick update on my invention If you're new here it's a bowl that folds completely flat into a plate to save space in y
83,DMiwzlcJQD3,20250725,62991,1898,61,7,"body, cta, hook","founder-talking-neutral, lifestyle, product-in-hand, split-screen, text-overlay-only",60 000 people know me as The Bowl Kid because I make videos about this product that I launched when I was 17 But what if
84,DMyb9R5JK0c,20250731,33851,590,34,9,"body, cta, hook","founder-talking-neutral, product-close-up, product-demo-use-case, product-in-hand",I invented a dish that makes your kitchen experience easier It folds up to a bowl then flat to a plate when it's time to
85,DMybl7Kp495,20250731,48828,602,72,1,hook,product-demo-use-case,the next video
86,DNBdqRQpMkr,20250806,216586,15934,229,4,"body, hook","founder-reacting, founder-talking-neutral, visual-type-unknown",No way What's up guys Good Shabbos I love the video you made by the way I appreciate that Take care guys
87,DNwMdrR0sDk,20250824,47844,1017,68,13,"body, cta, hook","lifestyle, split-screen, text-overlay-only",Do you want to watch boring videos Because I keep running into this issue where I'm trying to document my journey develo
88,DN1cV-X2kv7,20250826,64274,986,52,11,"body, cta, hook","founder-talking-neutral, founder-thinking, product-close-up, product-demo-feature, product-demo-use-case, text-overlay-only",I probably should have figured out how this stuff works before I made this video I normally hate sponsorships but trust 
89,DOJlrzNCWIR,20250903,2063436,139725,12504,10,"body, cta, hook","founder-talking-neutral, outdoor, split-screen, text-overlay-only",I will fight beside people If you want to follow my journey building this product and launching other I invented this pr
90,DOJsbgbCeka,20250903,1107709,82437,4580,12,"body, cta, hook","outdoor, text-overlay-only",I will fight beside people I invented this product in high school and two years after launching it I still haven't deliv
91,DOYO3-rDYXL,20250909,89954,2596,259,1,hook,product-demo-feature,(no speech)
92,DPKBkcfDWIQ,20250928,56446,892,54,8,"body, cta, hook","lifestyle, product-demo-use-case",Wow You can be a millionaire one day Yeah Listen to me Oh I think it's cool Hey Excuse me excuse me What do you think ab
93,DQjvxK-CnO4,20251102,10438,746,92,11,"body, cta, hook","founder-talking-neutral, text-overlay-only",It genuinely blows my mind that there are now over 100 000 people following my journey to bring this folding bowl I inve
94,DQpWPSFDfmW,20251104,9148,418,36,8,"body, cta, hook",founder-talking-neutral,Over the past year and a half I've grown my audience to over 100 000 followers and I still haven't delivered a single on
95,DRZowokDX8X,20251123,7027,410,56,10,"body, cta, hook","founder-talking-neutral, product-demo-feature, text-overlay-only",This space saving bowl I invented is almost finally ready to ship but we need to fix one thing As you could clearly see 
96,DSXFQd0jTYq,20251217,9335,820,133,8,"body, cta, hook","founder-talking-neutral, product-in-hand, split-screen, text-overlay-only",For the past two years I've been posting videos about my invention but after a bunch of testing the hinges that we're us
97,DSaB4_0CtJq,20251218,6026,376,74,12,"body, cta, hook","founder-talking-neutral, product-demo-feature, split-screen",So I invented this space saving bowl that folds completely flat into a plate to save space in your kitchen I've been wor
98,DTOjVRYDXnm,20260107,13542,1018,96,12,"body, cta, hook","founder-talking-neutral, product-demo-feature, text-overlay-only",So I invented this bowl that folds completely flat to save space in your dishwasher and in your cabinets You can see her
99,DTSrm2cDXzg,20260109,5179,235,35,8,"body, cta, hook","founder-talking-excited, founder-talking-neutral, outdoor, product-demo-feature",excuse me while we're walking can you record me real quick by chance yeah thank you bro walking this way okay dope me to
100,DT3Z00gCdUl,20260123,42561,1790,205,5,"body, cta, hook","outdoor, text-overlay-only",I'm Gaul and for the past few years I've been working on the most advanced dish of all time Unlike normal bowls that are
